"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Total
152,Costa Rica,,188,B R,"215,834"
153,El Salvador,,222,B R,"22,348"
154,Guatemala,,320,B R,"42,304"
155,Honduras,,340,B R,"18,493"
156,Mexico,,484,B R,"528,795"
157,Nicaragua,,558,B R,"20,468"
158,Panama,,591,B,"90,676"
159,South America,,931,,"4,147,734"
160,Argentina,,32,B,"1,194,306"
161,Bolivia (Plurinational State of),,68,B,"74,296"
162,Brazil,,76,B,"371,345"
163,Chile,,152,B,"497,063"
164,Colombia,,170,B,"566,514"
165,Ecuador,,218,B R,"184,345"
166,Falkland Islands (Malvinas),15,238,B,845
167,French Guiana,,254,B,"61,621"
168,Guyana,,328,B,"7,301"
169,Paraguay,,600,B,"77,107"
170,Peru,,604,B,"357,852"
171,Suriname,,740,C,"20,930"
172,Uruguay,,858,B,"44,494"
173,Venezuela (Bolivarian Republic of),,862,B,"689,715"
174,OCEANIA,,909,,"4,502,733"
175,Australia / New Zealand,,927,,"4,356,757"
176,Australia,16,36,B,"3,804,832"
177,New Zealand,,554,B,"551,925"
178,Melanesia,,928,,"56,027"
179,Fiji,,242,B,"6,462"
180,New Caledonia,,540,B,"34,553"
181,Papua New Guinea,,598,C R,"12,268"
182,Solomon Islands,,90,B,"1,111"
183,Vanuatu,,548,B,"1,633"
184,Micronesia,,954,,"58,420"
185,Guam,,316,B,"38,661"
186,Kiribati,,296,B,"1,428"
187,Marshall Islands,,584,B,"1,277"
188,Micronesia (Fed. States of),,583,B,"1,311"
189,Nauru,,520,C,908
190,Northern Mariana Islands,,580,B,"12,644"
191,Palau,,585,B,"2,191"
192,Polynesia,17,957,,"31,529"
193,American Samoa,,16,B,"11,527"
194,Cook Islands,,184,B,"1,743"
195,French Polynesia,,258,B,"13,414"
196,Niue,,570,B,269
197,Samoa,,882,B,"1,997"
198,Tokelau,,772,B,262
199,Tonga,,776,B,"1,704"
200,Tuvalu,,798,C,107
201,Wallis and Futuna Islands,,876,B,506
202,EUROPE AND NORTHERN AMERICA,,1829,,"72,656,428"
203,EUROPE,,917,,"42,296,878"
204,Eastern Europe,,923,,"10,632,731"
205,Belarus,,112,B,"579,625"
206,Bulgaria,,100,B,"85,798"
207,Czechia,,203,C,"219,460"
208,Hungary,,348,B R,"258,159"
209,Poland,,616,B,"366,231"
210,Republic of Moldova,18,498,B,"61,874"
211,Romania,,642,B,"213,701"
212,Russian Federation,,643,B,"5,926,680"
213,Slovakia,,703,B,"91,974"
214,Ukraine,19,804,B,"2,829,229"
215,Northern Europe,,924,,"7,769,672"
216,Channel Islands,20,830,B,"43,765"
217,Denmark,,208,B,"365,512"
218,Estonia,,233,B,"109,626"
219,Faroe Islands,,234,B,"3,167"
220,Finland,21,246,B,"186,928"
221,Iceland,,352,B,"24,850"
222,Ireland,,372,B,"419,112"
223,Isle of Man,,833,B,"21,963"
224,Latvia,,428,B,"143,870"
225,Lithuania,,440,B,"67,925"
226,Norway,22,578,B,"416,166"
227,Sweden,,752,B,"996,674"
228,United Kingdom,,826,B,"4,970,114"
229,Southern Europe,,925,,"8,763,438"
230,Albania,,8,B,"24,106"
231,Andorra,,20,C,"22,011"
232,Bosnia and Herzegovina,,70,I R,"18,718"
233,Croatia,,191,B R,"278,402"
234,Gibraltar,,292,B,"5,526"
235,Greece,,300,B,"651,174"
236,Holy See,23,336,I,426
237,Italy,,380,B,"3,365,603"
238,Malta,,470,B,"38,963"
239,Montenegro,,499,B,"42,985"
240,North Macedonia,,807,B,"76,493"
241,Portugal,,620,B,"476,412"
242,San Marino,,674,C,"2,571"
243,Serbia,24,688,B,"459,096"
244,Slovenia,,705,B,"110,496"
245,Spain,25,724,B,"3,190,456"
246,Western Europe,,926,,"15,131,037"
247,Austria,,40,B,"906,321"
248,Belgium,,56,B,"1,002,728"
249,France,,250,B,"4,315,585"
250,Germany,,276,B,"6,250,156"
251,Liechtenstein,,438,B,"13,061"
252,Luxembourg,,442,B,"143,053"
253,Monaco,,492,B,"13,660"
254,Netherlands,,528,B,"1,179,787"
255,Switzerland,,756,B,"1,306,686"
256,NORTHERN AMERICA,,918,,"30,359,550"
257,Bermuda,,60,B,"9,897"
258,Canada,,124,B,"4,174,467"
259,Greenland,,304,B,"1,948"
260,Saint Pierre and Miquelon,,666,B,471
261,United States of America,,840,B,"26,172,767"
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,United Nations,
,,,,Population Division,
,,,,Department of Economic and Social Affairs,
,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2019 (thousands)",
,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",
,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,
,,,,1990,1995
1,WORLD,,900,"5,327,231","5,744,213"
2,UN development groups,,,..,..
3,More developed regions,b,901,"1,145,508","1,169,482"
4,Less developed regions,c,902,"4,181,723","4,574,731"
5,Least developed countries,d,941,"506,276","579,682"
6,"Less developed regions, excluding least developed countries",,934,"3,675,448","3,995,050"
7,World Bank income groups,,,..,..
8,High-income countries,e,1503,"1,038,455","1,075,966"
9,Middle-income countries,e,1517,"3,936,199","4,261,804"
10,Upper-middle-income countries,e,1502,"2,056,240","2,181,157"
11,Lower-middle-income countries,e,1501,"1,879,959","2,080,646"
12,Low-income countries,e,1500,"350,701","404,387"
13,No income group available,e,1518,"1,876","2,056"
14,Geographic regions,,,..,..
15,Africa,,903,"630,350","717,270"
16,Asia,,935,"3,226,099","3,493,087"
17,Europe,,908,"720,858","726,994"
18,Latin America and the Caribbean,,904,"442,840","483,018"
19,Northern America,,905,"279,785","294,454"
20,Oceania,,909,"27,299","29,390"
21,Sustainable Development Goal (SDG) regions,f,,..,..
22,SUB-SAHARAN AFRICA,,947,"490,605","560,759"
23,Eastern Africa,,910,"197,168","223,934"
24,Burundi,,108,"5,439","5,987"
25,Comoros,,174,412,475
26,Djibouti,,262,590,630
27,Eritrea,,232,"2,259","2,204"
28,Ethiopia,,231,"47,888","57,048"
29,Kenya,,404,"23,725","27,768"
30,Madagascar,,450,"11,599","13,475"
31,Malawi,,454,"9,405","9,844"
32,Mauritius,1,480,"1,056","1,129"
33,Mayotte,,175,95,123
34,Mozambique,,508,"12,987","15,483"
35,Réunion,,638,611,674
36,Rwanda,,646,"7,289","5,836"
37,Seychelles,,690,71,77
38,Somalia,,706,"7,225","7,492"
39,South Sudan,,728,"5,493","5,118"
40,Uganda,,800,"17,354","20,413"
41,United Republic of Tanzania,2,834,"25,204","29,649"
42,Zambia,,894,"8,037","9,097"
43,Zimbabwe,,716,"10,432","11,411"
44,Middle Africa,,911,"70,855","83,775"
45,Angola,,24,"11,848","13,945"
46,Cameroon,,120,"11,780","13,600"
47,Central African Republic,,140,"2,807","3,223"
48,Chad,,148,"5,963","7,010"
49,Congo,,178,"2,357","2,708"
50,Democratic Republic of the Congo,,180,"34,612","41,576"
51,Equatorial Guinea,,226,419,497
52,Gabon,,266,949,"1,085"
53,Sao Tome and Principe,,678,119,132
54,Southern Africa,,913,"42,046","47,358"
55,Botswana,,72,"1,287","1,469"
56,Eswatini,,748,822,927
57,Lesotho,,426,"1,704","1,899"
58,Namibia,,516,"1,433","1,628"
59,South Africa,,710,"36,801","41,436"
60,Western Africa,,914,"180,535","205,692"
61,Benin,,204,"4,978","5,906"
62,Burkina Faso,,854,"8,811","10,090"
63,Cabo Verde,,132,338,386
64,Côte d'Ivoire,,384,"11,925","14,200"
65,Gambia,,270,956,"1,129"
66,Ghana,,288,"14,773","17,014"
67,Guinea,,324,"6,352","7,270"
68,Guinea-Bissau,,624,975,"1,089"
69,Liberia,,430,"2,076","2,045"
70,Mali,,466,"8,450","9,586"
71,Mauritania,,478,"2,034","2,314"
72,Niger,,562,"8,027","9,490"
73,Nigeria,,566,"95,212","107,948"
74,Saint Helena,3,654,7,6
75,Senegal,,686,"7,526","8,690"
76,Sierra Leone,,694,"4,320","4,304"
77,Togo,,768,"3,774","4,226"
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,"288,060","323,178"
79,Northern Africa,,912,"139,745","156,511"
80,Algeria,,12,"25,759","28,758"
81,Egypt,,818,"56,134","62,334"
82,Libya,,434,"4,437","4,949"
83,Morocco,,504,"24,807","26,994"
84,Sudan,4,729,"20,148","24,095"
85,Tunisia,,788,"8,242","9,125"
86,Western Sahara,,732,217,256
87,Western Asia,,922,"148,316","166,667"
88,Armenia,,51,"3,538","3,217"
89,Azerbaijan,5,31,"7,243","7,775"
90,Bahrain,,48,496,564
91,Cyprus,6,196,767,855
92,Georgia,7,268,"5,410","4,976"
93,Iraq,,368,"17,419","20,149"
94,Israel,,376,"4,448","5,271"
95,Jordan,,400,"3,566","4,589"
96,Kuwait,,414,"2,095","1,606"
97,Lebanon,,422,"2,803","3,528"
98,Oman,,512,"1,812","2,204"
99,Qatar,,634,476,513
100,Saudi Arabia,,682,"16,234","18,639"
101,State of Palestine,8,275,"2,101","2,619"
102,Syrian Arab Republic,,760,"12,446","14,345"
103,Turkey,,792,"53,922","58,486"
104,United Arab Emirates,,784,"1,828","2,415"
105,Yemen,,887,"11,710","14,913"
106,CENTRAL AND SOUTHERN ASIA,,921,"1,239,984","1,376,200"
107,Central Asia,,5500,"50,123","53,169"
108,Kazakhstan,,398,"16,384","15,839"
109,Kyrgyzstan,,417,"4,373","4,566"
110,Tajikistan,,762,"5,284","5,765"
111,Turkmenistan,,795,"3,684","4,208"
112,Uzbekistan,,860,"20,398","22,791"
113,Southern Asia,,5501,"1,189,861","1,323,030"
114,Afghanistan,,4,"12,412","18,111"
115,Bangladesh,,50,"103,172","115,170"
116,Bhutan,,64,531,535
117,India,,356,"873,278","963,923"
118,Iran (Islamic Republic of),,364,"56,366","61,443"
119,Maldives,,462,223,254
120,Nepal,,524,"18,905","21,576"
121,Pakistan,,586,"107,648","123,777"
122,Sri Lanka,,144,"17,326","18,243"
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,"1,837,799","1,950,220"
124,Eastern Asia,,906,"1,393,335","1,464,565"
125,China,9,156,"1,197,362","1,262,277"
126,"China, Hong Kong SAR",10,344,"5,728","6,084"
127,"China, Macao SAR",11,446,344,386
128,Dem. People's Republic of Korea,,408,"20,293","21,862"
129,Japan,,392,"124,505","126,365"
130,Mongolia,,496,"2,184","2,298"
131,Republic of Korea,,410,"42,918","45,293"
132,South-Eastern Asia,,920,"444,464","485,655"
133,Brunei Darussalam,,96,259,297
134,Cambodia,,116,"8,976","10,656"
135,Indonesia,,360,"181,413","196,934"
136,Lao People's Democratic Republic,,418,"4,258","4,846"
137,Malaysia,12,458,"18,030","20,488"
138,Myanmar,,104,"41,335","43,902"
139,Philippines,,608,"61,895","69,784"
140,Singapore,,702,"3,013","3,526"
141,Thailand,,764,"56,558","59,467"
142,Timor-Leste,,626,738,844
143,Viet Nam,,704,"67,989","74,910"
144,LATIN AMERICA AND THE CARIBBEAN,,1830,"442,840","483,018"
145,Caribbean,,915,"34,058","36,162"
146,Anguilla,,660,9,10
147,Antigua and Barbuda,,28,63,69
148,Aruba,,533,62,80
149,Bahamas,,44,256,280
150,Barbados,,52,261,266
151,British Virgin Islands,,92,17,19
152,"Bonaire, Sint Eustatius and Saba",13,535,13,15
153,Cayman Islands,,136,25,32
154,Cuba,,192,"10,597","10,888"
155,Curaçao,,531,147,144
156,Dominica,,212,70,71
157,Dominican Republic,,214,"7,133","7,819"
158,Grenada,,308,96,100
159,Guadeloupe,14,312,426,437
160,Haiti,,332,"7,038","7,745"
161,Jamaica,,388,"2,420","2,534"
162,Martinique,,474,358,369
163,Montserrat,,500,11,10
164,Puerto Rico,,630,"3,403","3,568"
165,Saint Kitts and Nevis,,659,40,42
166,Saint Lucia,,662,138,147
167,Saint Vincent and the Grenadines,,670,107,108
168,Sint Maarten (Dutch part),,534,29,31
169,Trinidad and Tobago,,780,"1,221","1,254"
170,Turks and Caicos Islands,,796,12,16
171,United States Virgin Islands,,850,104,107
172,Central America,,916,"113,384","124,554"
173,Belize,,84,188,207
174,Costa Rica,,188,"3,119","3,546"
175,El Salvador,,222,"5,270","5,629"
176,Guatemala,,320,"9,264","10,408"
177,Honduras,,340,"4,955","5,709"
178,Mexico,,484,"83,943","91,663"
179,Nicaragua,,558,"4,173","4,652"
180,Panama,,591,"2,471","2,740"
181,South America,,931,"295,398","322,302"
182,Argentina,,32,"32,619","34,828"
183,Bolivia (Plurinational State of),,68,"6,865","7,622"
184,Brazil,,76,"149,003","162,020"
185,Chile,,152,"13,275","14,381"
186,Colombia,,170,"33,103","36,421"
187,Ecuador,,218,"10,231","11,455"
188,Falkland Islands (Malvinas),15,238,2,2
189,French Guiana,,254,116,137
190,Guyana,,328,743,761
191,Paraguay,,600,"4,223","4,777"
192,Peru,,604,"22,071","24,299"
193,Suriname,,740,405,442
194,Uruguay,,858,"3,110","3,224"
195,Venezuela (Bolivarian Republic of),,862,"19,633","21,931"
196,OCEANIA,,909,"27,299","29,390"
197,Australia / New Zealand,,927,"20,359","21,668"
198,Australia,16,36,"16,961","17,993"
199,New Zealand,,554,"3,398","3,675"
200,Melanesia,,928,"5,973","6,683"
201,Fiji,,242,729,775
202,New Caledonia,,540,170,193
203,Papua New Guinea,,598,"4,616","5,187"
204,Solomon Islands,,90,312,359
205,Vanuatu,,548,147,168
206,Micronesia,,954,417,455
207,Guam,,316,130,146
208,Kiribati,,296,72,78
209,Marshall Islands,,584,47,50
210,Micronesia (Fed. States of),,583,96,108
211,Nauru,,520,10,11
212,Northern Mariana Islands,,580,46,46
213,Palau,,585,15,17
214,Polynesia,17,957,550,583
215,American Samoa,,16,47,53
216,Cook Islands,,184,18,19
217,French Polynesia,,258,200,218
218,Niue,,570,2,2
219,Samoa,,882,163,170
220,Tokelau,,772,2,2
221,Tonga,,776,95,96
222,Tuvalu,,798,9,9
223,Wallis and Futuna Islands,,876,14,14
224,EUROPE AND NORTHERN AMERICA,,1829,"1,000,644","1,021,448"
225,EUROPE,,917,"720,858","726,994"
226,Eastern Europe,,923,"309,809","309,435"
227,Belarus,,112,"10,151","10,078"
228,Bulgaria,,100,"8,841","8,379"
229,Czechia,,203,"10,341","10,358"
230,Hungary,,348,"10,377","10,349"
231,Poland,,616,"37,960","38,459"
232,Republic of Moldova,18,498,"4,366","4,341"
233,Romania,,642,"23,489","22,965"
234,Russian Federation,,643,"147,532","148,227"
235,Slovakia,,703,"5,288","5,375"
236,Ukraine,19,804,"51,463","50,904"
237,Northern Europe,,924,"92,036","93,177"
238,Channel Islands,20,830,141,143
239,Denmark,,208,"5,141","5,233"
240,Estonia,,233,"1,565","1,433"
241,Faroe Islands,,234,47,46
242,Finland,21,246,"4,996","5,119"
243,Iceland,,352,255,268
244,Ireland,,372,"3,511","3,592"
245,Isle of Man,,833,70,72
246,Latvia,,428,"2,664","2,508"
247,Lithuania,,440,"3,696","3,627"
248,Norway,22,578,"4,247","4,367"
249,Sweden,,752,"8,567","8,836"
250,United Kingdom,,826,"57,134","57,932"
251,Southern Europe,,925,"143,504","144,333"
252,Albania,,8,"3,286","3,113"
253,Andorra,,20,55,64
254,Bosnia and Herzegovina,,70,"4,463","3,829"
255,Croatia,,191,"4,776","4,617"
256,Gibraltar,,292,29,29
257,Greece,,300,"10,226","10,746"
258,Holy See,23,336,1,1
259,Italy,,380,"57,048","57,174"
260,Malta,,470,362,377
261,Montenegro,,499,615,620
262,North Macedonia,,807,"1,996","1,983"
263,Portugal,,620,"9,895","10,091"
264,San Marino,,674,24,26
265,Serbia,24,688,"9,518","9,884"
266,Slovenia,,705,"2,006","1,991"
267,Spain,25,724,"39,203","39,787"
268,Western Europe,,926,"175,510","180,050"
269,Austria,,40,"7,724","7,990"
270,Belgium,,56,"10,007","10,186"
271,France,,250,"56,667","57,802"
272,Germany,,276,"79,054","81,139"
273,Liechtenstein,,438,29,31
274,Luxembourg,,442,382,408
275,Monaco,,492,29,31
276,Netherlands,,528,"14,965","15,468"
277,Switzerland,,756,"6,653","6,996"
278,NORTHERN AMERICA,,918,"279,785","294,454"
279,Bermuda,,60,62,63
280,Canada,,124,"27,541","29,164"
281,Greenland,,304,56,56
282,Saint Pierre and Miquelon,,666,6,6
283,United States of America,,840,"252,120","265,164"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,United Nations,
,,,,Population Division,
,,,,Department of Economic and Social Affairs,
,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,
,,,,"Table 3 - International migrant stock as a percentage of the total population by sex and by major area, region, country or area, 1990-2019",
,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",
,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock as a percentage of the total population (both sexes)
,,,,,1990
1,WORLD,,900,,2.9
2,UN development groups,,,,..
3,More developed regions,b,901,,7.2
4,Less developed regions,c,902,,1.7
5,Least developed countries,d,941,,2.2
6,"Less developed regions, excluding least developed countries",,934,,1.6
7,World Bank income groups,,,,..
8,High-income countries,e,1503,,7.5
9,Middle-income countries,e,1517,,1.7
10,Upper-middle-income countries,e,1502,,1.6
11,Lower-middle-income countries,e,1501,,1.7
12,Low-income countries,e,1500,,2.8
13,No income group available,e,1518,,15.7
14,Geographic regions,,,,..
15,Africa,,903,,2.5
16,Asia,,935,,1.5
17,Europe,,908,,6.9
18,Latin America and the Caribbean,,904,,1.6
19,Northern America,,905,,9.9
20,Oceania,,909,,17.3
21,Sustainable Development Goal (SDG) regions,f,,,..
22,SUB-SAHARAN AFRICA,,947,,2.7
23,Eastern Africa,,910,,3.0
24,Burundi,,108,B R,6.1
25,Comoros,,174,B,3.4
26,Djibouti,,262,B R,20.7
27,Eritrea,,232,I,0.5
28,Ethiopia,,231,B R,2.4
29,Kenya,,404,B R,1.3
30,Madagascar,,450,C,0.2
31,Malawi,,454,B R,12.0
32,Mauritius,1,480,C,0.3
33,Mayotte,,175,B,16.1
34,Mozambique,,508,B R,0.9
35,Réunion,,638,B,9.4
36,Rwanda,,646,B R,2.2
37,Seychelles,,690,B,5.3
38,Somalia,,706,I R,6.6
39,South Sudan,,728,B R,..
40,Uganda,,800,B R,3.1
41,United Republic of Tanzania,2,834,B R,2.3
42,Zambia,,894,B R,3.5
43,Zimbabwe,,716,B R,6.1
44,Middle Africa,,911,,2.1
45,Angola,,24,B R,0.3
46,Cameroon,,120,B,2.3
47,Central African Republic,,140,C,2.4
48,Chad,,148,B R,1.2
49,Congo,,178,B,5.5
50,Democratic Republic of the Congo,,180,B R,2.2
51,Equatorial Guinea,,226,C,0.7
52,Gabon,,266,C,13.5
53,Sao Tome and Principe,,678,C,4.7
54,Southern Africa,,913,,3.3
55,Botswana,,72,B,2.1
56,Eswatini,,748,B R,9.1
57,Lesotho,,426,C R,0.5
58,Namibia,,516,B,8.4
59,South Africa,,710,B R,3.2
60,Western Africa,,914,,2.5
61,Benin,,204,C B R,1.5
62,Burkina Faso,,854,B R,4.0
63,Cabo Verde,,132,B,2.6
64,Côte d'Ivoire,,384,C B,15.2
65,Gambia,,270,B,12.4
66,Ghana,,288,B,1.1
67,Guinea,,324,C B R,6.4
68,Guinea-Bissau,,624,B R,1.6
69,Liberia,,430,B,4.6
70,Mali,,466,B R,1.9
71,Mauritania,,478,C R,5.5
72,Niger,,562,B R,1.4
73,Nigeria,,566,C R,0.5
74,Saint Helena,3,654,C,2.7
75,Senegal,,686,B R,3.6
76,Sierra Leone,,694,B R,5.1
77,Togo,,768,C R,2.2
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,6.1
79,Northern Africa,,912,,1.7
80,Algeria,,12,B R,1.1
81,Egypt,,818,B R,0.3
82,Libya,,434,C,10.3
83,Morocco,,504,C,0.2
84,Sudan,4,729,B R,5.5
85,Tunisia,,788,C,0.5
86,Western Sahara,,732,I,1.2
87,Western Asia,,922,,10.3
88,Armenia,,51,B R,18.6
89,Azerbaijan,5,31,B R,5.0
90,Bahrain,,48,C,34.9
91,Cyprus,6,196,B,5.7
92,Georgia,7,268,B,5.6
93,Iraq,,368,C R,0.5
94,Israel,,376,B R,36.7
95,Jordan,,400,C R,32.1
96,Kuwait,,414,C R,51.3
97,Lebanon,,422,B R,18.7
98,Oman,,512,C,16.8
99,Qatar,,634,C,65.0
100,Saudi Arabia,,682,C R,30.8
101,State of Palestine,8,275,B,13.7
102,Syrian Arab Republic,,760,C R,5.7
103,Turkey,,792,B R,2.2
104,United Arab Emirates,,784,C R,71.5
