"Sort
order","Major area, region, country or area of destination",Total
70,Georgia,"44,452"
71,Iraq,"153,774"
72,Israel,"1,068,578"
73,Jordan,"1,661,345"
74,Kuwait,"1,021,042"
75,Lebanon,"967,998"
76,Oman,"374,700"
77,Qatar,"384,010"
78,Saudi Arabia,"4,121,156"
79,State of Palestine,"141,283"
80,Syrian Arab Republic,"423,138"
81,Turkey,"2,618,617"
82,United Arab Emirates,"2,261,236"
83,Yemen,"183,214"
84,CENTRAL AND SOUTHERN ASIA,"9,702,120"
85,Central Asia,"2,870,065"
86,Kazakhstan,"1,868,663"
87,Kyrgyzstan,"119,315"
88,Tajikistan,"155,864"
89,Turkmenistan,"102,887"
90,Uzbekistan,"623,336"
91,Southern Asia,"6,832,055"
92,Afghanistan,"74,788"
93,Bangladesh,"1,061,320"
94,Bhutan,"8,034"
95,India,"2,514,224"
96,Iran (Islamic Republic of),"1,260,410"
97,Maldives,"8,540"
98,Nepal,"342,315"
99,Pakistan,"1,543,315"
100,Sri Lanka,"19,109"
101,EASTERN AND SOUTH-EASTERN ASIA,"9,017,137"
102,Eastern Asia,"4,244,779"
103,China,"398,321"
104,"China, Hong Kong SAR","1,798,925"
105,"China, Macao SAR","214,070"
106,Dem. People's Republic of Korea,"24,817"
107,Japan,"1,290,723"
108,Mongolia,"7,014"
109,Republic of Korea,"510,909"
110,South-Eastern Asia,"4,772,358"
111,Brunei Darussalam,"47,981"
112,Cambodia,"36,270"
113,Indonesia,"147,684"
114,Lao People's Democratic Republic,"17,176"
115,Malaysia,"1,333,221"
116,Myanmar,"34,346"
117,Philippines,"105,291"
118,Singapore,"1,205,461"
119,Thailand,"1,809,580"
120,Timor-Leste,"3,331"
121,Viet Nam,"32,017"
122,LATIN AMERICA AND THE CARIBBEAN,"5,826,152"
123,Caribbean,"709,682"
124,Anguilla,"2,985"
125,Antigua and Barbuda,"16,181"
126,Aruba,"20,237"
127,Bahamas,"31,118"
128,Barbados,"19,169"
129,British Virgin Islands,"10,536"
130,"Bonaire, Sint Eustatius and Saba","7,990"
131,Cayman Islands,"14,147"
132,Cuba,"2,789"
133,Curaçao,"24,070"
134,Dominica,"3,961"
135,Dominican Republic,"202,387"
136,Grenada,"3,588"
137,Guadeloupe,"55,493"
138,Haiti,"8,330"
139,Jamaica,"11,548"
140,Martinique,"34,694"
141,Montserrat,666
142,Puerto Rico,"142,848"
143,Saint Kitts and Nevis,"3,595"
144,Saint Lucia,"4,357"
145,Saint Vincent and the Grenadines,"2,294"
146,Sint Maarten (Dutch part),"14,720"
147,Trinidad and Tobago,"30,135"
148,Turks and Caicos Islands,"11,839"
149,United States Virgin Islands,"30,005"
150,Central America,"968,736"
151,Belize,"29,818"
152,Costa Rica,"215,834"
153,El Salvador,"22,348"
154,Guatemala,"42,304"
155,Honduras,"18,493"
156,Mexico,"528,795"
157,Nicaragua,"20,468"
158,Panama,"90,676"
159,South America,"4,147,734"
160,Argentina,"1,194,306"
161,Bolivia (Plurinational State of),"74,296"
162,Brazil,"371,345"
163,Chile,"497,063"
164,Colombia,"566,514"
165,Ecuador,"184,345"
166,Falkland Islands (Malvinas),845
167,French Guiana,"61,621"
168,Guyana,"7,301"
169,Paraguay,"77,107"
170,Peru,"357,852"
171,Suriname,"20,930"
172,Uruguay,"44,494"
173,Venezuela (Bolivarian Republic of),"689,715"
174,OCEANIA,"4,502,733"
175,Australia / New Zealand,"4,356,757"
176,Australia,"3,804,832"
177,New Zealand,"551,925"
178,Melanesia,"56,027"
179,Fiji,"6,462"
180,New Caledonia,"34,553"
181,Papua New Guinea,"12,268"
182,Solomon Islands,"1,111"
183,Vanuatu,"1,633"
184,Micronesia,"58,420"
185,Guam,"38,661"
186,Kiribati,"1,428"
187,Marshall Islands,"1,277"
188,Micronesia (Fed. States of),"1,311"
189,Nauru,908
190,Northern Mariana Islands,"12,644"
191,Palau,"2,191"
192,Polynesia,"31,529"
193,American Samoa,"11,527"
194,Cook Islands,"1,743"
195,French Polynesia,"13,414"
196,Niue,269
197,Samoa,"1,997"
198,Tokelau,262
199,Tonga,"1,704"
200,Tuvalu,107
201,Wallis and Futuna Islands,506
202,EUROPE AND NORTHERN AMERICA,"72,656,428"
203,EUROPE,"42,296,878"
204,Eastern Europe,"10,632,731"
205,Belarus,"579,625"
206,Bulgaria,"85,798"
207,Czechia,"219,460"
208,Hungary,"258,159"
209,Poland,"366,231"
210,Republic of Moldova,"61,874"
211,Romania,"213,701"
212,Russian Federation,"5,926,680"
213,Slovakia,"91,974"
214,Ukraine,"2,829,229"
215,Northern Europe,"7,769,672"
216,Channel Islands,"43,765"
217,Denmark,"365,512"
218,Estonia,"109,626"
219,Faroe Islands,"3,167"
220,Finland,"186,928"
221,Iceland,"24,850"
222,Ireland,"419,112"
223,Isle of Man,"21,963"
224,Latvia,"143,870"
225,Lithuania,"67,925"
226,Norway,"416,166"
227,Sweden,"996,674"
228,United Kingdom,"4,970,114"
229,Southern Europe,"8,763,438"
230,Albania,"24,106"
231,Andorra,"22,011"
232,Bosnia and Herzegovina,"18,718"
233,Croatia,"278,402"
234,Gibraltar,"5,526"
235,Greece,"651,174"
236,Holy See,426
237,Italy,"3,365,603"
238,Malta,"38,963"
239,Montenegro,"42,985"
240,North Macedonia,"76,493"
241,Portugal,"476,412"
242,San Marino,"2,571"
243,Serbia,"459,096"
244,Slovenia,"110,496"
245,Spain,"3,190,456"
246,Western Europe,"15,131,037"
247,Austria,"906,321"
248,Belgium,"1,002,728"
249,France,"4,315,585"
250,Germany,"6,250,156"
251,Liechtenstein,"13,061"
252,Luxembourg,"143,053"
253,Monaco,"13,660"
254,Netherlands,"1,179,787"
255,Switzerland,"1,306,686"
256,NORTHERN AMERICA,"30,359,550"
257,Bermuda,"9,897"
258,Canada,"4,174,467"
259,Greenland,"1,948"
260,Saint Pierre and Miquelon,471
261,United States of America,"26,172,767"
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Sort
order","Major area, region, country or area of destination",
,,1995
1,WORLD,"5,744,213"
2,UN development groups,..
3,More developed regions,"1,169,482"
4,Less developed regions,"4,574,731"
5,Least developed countries,"579,682"
6,"Less developed regions, excluding least developed countries","3,995,050"
7,World Bank income groups,..
8,High-income countries,"1,075,966"
9,Middle-income countries,"4,261,804"
10,Upper-middle-income countries,"2,181,157"
11,Lower-middle-income countries,"2,080,646"
12,Low-income countries,"404,387"
13,No income group available,"2,056"
14,Geographic regions,..
15,Africa,"717,270"
16,Asia,"3,493,087"
17,Europe,"726,994"
18,Latin America and the Caribbean,"483,018"
19,Northern America,"294,454"
20,Oceania,"29,390"
21,Sustainable Development Goal (SDG) regions,..
22,SUB-SAHARAN AFRICA,"560,759"
23,Eastern Africa,"223,934"
24,Burundi,"5,987"
25,Comoros,475
26,Djibouti,630
27,Eritrea,"2,204"
28,Ethiopia,"57,048"
29,Kenya,"27,768"
30,Madagascar,"13,475"
31,Malawi,"9,844"
32,Mauritius,"1,129"
33,Mayotte,123
34,Mozambique,"15,483"
35,Réunion,674
36,Rwanda,"5,836"
37,Seychelles,77
38,Somalia,"7,492"
39,South Sudan,"5,118"
40,Uganda,"20,413"
41,United Republic of Tanzania,"29,649"
42,Zambia,"9,097"
43,Zimbabwe,"11,411"
44,Middle Africa,"83,775"
45,Angola,"13,945"
46,Cameroon,"13,600"
47,Central African Republic,"3,223"
48,Chad,"7,010"
49,Congo,"2,708"
50,Democratic Republic of the Congo,"41,576"
51,Equatorial Guinea,497
52,Gabon,"1,085"
53,Sao Tome and Principe,132
54,Southern Africa,"47,358"
55,Botswana,"1,469"
56,Eswatini,927
57,Lesotho,"1,899"
58,Namibia,"1,628"
59,South Africa,"41,436"
60,Western Africa,"205,692"
61,Benin,"5,906"
62,Burkina Faso,"10,090"
63,Cabo Verde,386
64,Côte d'Ivoire,"14,200"
65,Gambia,"1,129"
66,Ghana,"17,014"
67,Guinea,"7,270"
68,Guinea-Bissau,"1,089"
69,Liberia,"2,045"
70,Mali,"9,586"
71,Mauritania,"2,314"
72,Niger,"9,490"
73,Nigeria,"107,948"
74,Saint Helena,6
75,Senegal,"8,690"
76,Sierra Leone,"4,304"
77,Togo,"4,226"
78,NORTHERN AFRICA AND WESTERN ASIA,"323,178"
79,Northern Africa,"156,511"
80,Algeria,"28,758"
81,Egypt,"62,334"
82,Libya,"4,949"
83,Morocco,"26,994"
84,Sudan,"24,095"
85,Tunisia,"9,125"
86,Western Sahara,256
87,Western Asia,"166,667"
88,Armenia,"3,217"
89,Azerbaijan,"7,775"
90,Bahrain,564
91,Cyprus,855
92,Georgia,"4,976"
93,Iraq,"20,149"
94,Israel,"5,271"
95,Jordan,"4,589"
96,Kuwait,"1,606"
97,Lebanon,"3,528"
98,Oman,"2,204"
99,Qatar,513
100,Saudi Arabia,"18,639"
101,State of Palestine,"2,619"
102,Syrian Arab Republic,"14,345"
103,Turkey,"58,486"
104,United Arab Emirates,"2,415"
105,Yemen,"14,913"
106,CENTRAL AND SOUTHERN ASIA,"1,376,200"
107,Central Asia,"53,169"
108,Kazakhstan,"15,839"
109,Kyrgyzstan,"4,566"
110,Tajikistan,"5,765"
111,Turkmenistan,"4,208"
112,Uzbekistan,"22,791"
113,Southern Asia,"1,323,030"
114,Afghanistan,"18,111"
115,Bangladesh,"115,170"
116,Bhutan,535
117,India,"963,923"
118,Iran (Islamic Republic of),"61,443"
119,Maldives,254
120,Nepal,"21,576"
121,Pakistan,"123,777"
122,Sri Lanka,"18,243"
123,EASTERN AND SOUTH-EASTERN ASIA,"1,950,220"
124,Eastern Asia,"1,464,565"
125,China,"1,262,277"
126,"China, Hong Kong SAR","6,084"
127,"China, Macao SAR",386
128,Dem. People's Republic of Korea,"21,862"
129,Japan,"126,365"
130,Mongolia,"2,298"
131,Republic of Korea,"45,293"
132,South-Eastern Asia,"485,655"
133,Brunei Darussalam,297
134,Cambodia,"10,656"
135,Indonesia,"196,934"
136,Lao People's Democratic Republic,"4,846"
137,Malaysia,"20,488"
138,Myanmar,"43,902"
139,Philippines,"69,784"
140,Singapore,"3,526"
141,Thailand,"59,467"
142,Timor-Leste,844
143,Viet Nam,"74,910"
144,LATIN AMERICA AND THE CARIBBEAN,"483,018"
145,Caribbean,"36,162"
146,Anguilla,10
147,Antigua and Barbuda,69
148,Aruba,80
149,Bahamas,280
150,Barbados,266
151,British Virgin Islands,19
152,"Bonaire, Sint Eustatius and Saba",15
153,Cayman Islands,32
154,Cuba,"10,888"
155,Curaçao,144
156,Dominica,71
157,Dominican Republic,"7,819"
158,Grenada,100
159,Guadeloupe,437
160,Haiti,"7,745"
161,Jamaica,"2,534"
162,Martinique,369
163,Montserrat,10
164,Puerto Rico,"3,568"
165,Saint Kitts and Nevis,42
166,Saint Lucia,147
167,Saint Vincent and the Grenadines,108
168,Sint Maarten (Dutch part),31
169,Trinidad and Tobago,"1,254"
170,Turks and Caicos Islands,16
171,United States Virgin Islands,107
172,Central America,"124,554"
173,Belize,207
174,Costa Rica,"3,546"
175,El Salvador,"5,629"
176,Guatemala,"10,408"
177,Honduras,"5,709"
178,Mexico,"91,663"
179,Nicaragua,"4,652"
180,Panama,"2,740"
181,South America,"322,302"
182,Argentina,"34,828"
183,Bolivia (Plurinational State of),"7,622"
184,Brazil,"162,020"
185,Chile,"14,381"
186,Colombia,"36,421"
187,Ecuador,"11,455"
188,Falkland Islands (Malvinas),2
189,French Guiana,137
190,Guyana,761
191,Paraguay,"4,777"
192,Peru,"24,299"
193,Suriname,442
194,Uruguay,"3,224"
195,Venezuela (Bolivarian Republic of),"21,931"
196,OCEANIA,"29,390"
197,Australia / New Zealand,"21,668"
198,Australia,"17,993"
199,New Zealand,"3,675"
200,Melanesia,"6,683"
201,Fiji,775
202,New Caledonia,193
203,Papua New Guinea,"5,187"
204,Solomon Islands,359
205,Vanuatu,168
206,Micronesia,455
207,Guam,146
208,Kiribati,78
209,Marshall Islands,50
210,Micronesia (Fed. States of),108
211,Nauru,11
212,Northern Mariana Islands,46
213,Palau,17
214,Polynesia,583
215,American Samoa,53
216,Cook Islands,19
217,French Polynesia,218
218,Niue,2
219,Samoa,170
220,Tokelau,2
221,Tonga,96
222,Tuvalu,9
223,Wallis and Futuna Islands,14
224,EUROPE AND NORTHERN AMERICA,"1,021,448"
225,EUROPE,"726,994"
226,Eastern Europe,"309,435"
227,Belarus,"10,078"
228,Bulgaria,"8,379"
229,Czechia,"10,358"
230,Hungary,"10,349"
231,Poland,"38,459"
232,Republic of Moldova,"4,341"
233,Romania,"22,965"
234,Russian Federation,"148,227"
235,Slovakia,"5,375"
236,Ukraine,"50,904"
237,Northern Europe,"93,177"
238,Channel Islands,143
239,Denmark,"5,233"
240,Estonia,"1,433"
241,Faroe Islands,46
242,Finland,"5,119"
243,Iceland,268
244,Ireland,"3,592"
245,Isle of Man,72
246,Latvia,"2,508"
247,Lithuania,"3,627"
248,Norway,"4,367"
249,Sweden,"8,836"
250,United Kingdom,"57,932"
251,Southern Europe,"144,333"
252,Albania,"3,113"
253,Andorra,64
254,Bosnia and Herzegovina,"3,829"
255,Croatia,"4,617"
256,Gibraltar,29
257,Greece,"10,746"
258,Holy See,1
259,Italy,"57,174"
260,Malta,377
261,Montenegro,620
262,North Macedonia,"1,983"
263,Portugal,"10,091"
264,San Marino,26
265,Serbia,"9,884"
266,Slovenia,"1,991"
267,Spain,"39,787"
268,Western Europe,"180,050"
269,Austria,"7,990"
270,Belgium,"10,186"
271,France,"57,802"
272,Germany,"81,139"
273,Liechtenstein,31
274,Luxembourg,408
275,Monaco,31
276,Netherlands,"15,468"
277,Switzerland,"6,996"
278,NORTHERN AMERICA,"294,454"
279,Bermuda,63
280,Canada,"29,164"
281,Greenland,56
282,Saint Pierre and Miquelon,6
283,United States of America,"265,164"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Sort
order","Major area, region, country or area of destination",International migrant stock as a percentage of the total population (both sexes)
,,1990
1,WORLD,2.9
2,UN development groups,..
3,More developed regions,7.2
4,Less developed regions,1.7
5,Least developed countries,2.2
6,"Less developed regions, excluding least developed countries",1.6
7,World Bank income groups,..
8,High-income countries,7.5
9,Middle-income countries,1.7
10,Upper-middle-income countries,1.6
11,Lower-middle-income countries,1.7
12,Low-income countries,2.8
13,No income group available,15.7
14,Geographic regions,..
15,Africa,2.5
16,Asia,1.5
17,Europe,6.9
18,Latin America and the Caribbean,1.6
19,Northern America,9.9
20,Oceania,17.3
21,Sustainable Development Goal (SDG) regions,..
22,SUB-SAHARAN AFRICA,2.7
23,Eastern Africa,3.0
24,Burundi,6.1
25,Comoros,3.4
26,Djibouti,20.7
27,Eritrea,0.5
28,Ethiopia,2.4
29,Kenya,1.3
30,Madagascar,0.2
31,Malawi,12.0
32,Mauritius,0.3
33,Mayotte,16.1
34,Mozambique,0.9
35,Réunion,9.4
36,Rwanda,2.2
37,Seychelles,5.3
38,Somalia,6.6
39,South Sudan,..
40,Uganda,3.1
41,United Republic of Tanzania,2.3
42,Zambia,3.5
43,Zimbabwe,6.1
44,Middle Africa,2.1
45,Angola,0.3
46,Cameroon,2.3
47,Central African Republic,2.4
48,Chad,1.2
49,Congo,5.5
50,Democratic Republic of the Congo,2.2
51,Equatorial Guinea,0.7
52,Gabon,13.5
53,Sao Tome and Principe,4.7
54,Southern Africa,3.3
55,Botswana,2.1
56,Eswatini,9.1
57,Lesotho,0.5
58,Namibia,8.4
59,South Africa,3.2
60,Western Africa,2.5
61,Benin,1.5
62,Burkina Faso,4.0
63,Cabo Verde,2.6
64,Côte d'Ivoire,15.2
65,Gambia,12.4
66,Ghana,1.1
67,Guinea,6.4
68,Guinea-Bissau,1.6
69,Liberia,4.6
70,Mali,1.9
71,Mauritania,5.5
72,Niger,1.4
73,Nigeria,0.5
74,Saint Helena,2.7
75,Senegal,3.6
76,Sierra Leone,5.1
77,Togo,2.2
78,NORTHERN AFRICA AND WESTERN ASIA,6.1
79,Northern Africa,1.7
80,Algeria,1.1
81,Egypt,0.3
82,Libya,10.3
83,Morocco,0.2
84,Sudan,5.5
85,Tunisia,0.5
86,Western Sahara,1.2
87,Western Asia,10.3
88,Armenia,18.6
89,Azerbaijan,5.0
90,Bahrain,34.9
91,Cyprus,5.7
92,Georgia,5.6
93,Iraq,0.5
94,Israel,36.7
95,Jordan,32.1
96,Kuwait,51.3
97,Lebanon,18.7
98,Oman,16.8
99,Qatar,65.0
100,Saudi Arabia,30.8
101,State of Palestine,13.7
102,Syrian Arab Republic,5.7
103,Turkey,2.2
104,United Arab Emirates,71.5
105,Yemen,1.0
106,CENTRAL AND SOUTHERN ASIA,2.1
107,Central Asia,13.2
108,Kazakhstan,22.1
109,Kyrgyzstan,14.2
110,Tajikistan,8.1
111,Turkmenistan,8.3
112,Uzbekistan,8.1
113,Southern Asia,1.6
114,Afghanistan,0.5
115,Bangladesh,0.9
116,Bhutan,4.5
117,India,0.9
118,Iran (Islamic Republic of),7.6
119,Maldives,3.9
120,Nepal,2.3
121,Pakistan,5.8
122,Sri Lanka,0.2
123,EASTERN AND SOUTH-EASTERN ASIA,0.4
124,Eastern Asia,0.3
125,China,0.0
126,"China, Hong Kong SAR",38.7
127,"China, Macao SAR",59.6
128,Dem. People's Republic of Korea,0.2
129,Japan,0.9
130,Mongolia,0.3
131,Republic of Korea,0.1
132,South-Eastern Asia,0.6
133,Brunei Darussalam,28.3
134,Cambodia,0.4
135,Indonesia,0.3
136,Lao People's Democratic Republic,0.5
137,Malaysia,3.9
138,Myanmar,0.3
139,Philippines,0.2
140,Singapore,24.1
141,Thailand,0.9
142,Timor-Leste,1.2
143,Viet Nam,0.0
144,LATIN AMERICA AND THE CARIBBEAN,1.6
145,Caribbean,3.1
146,Anguilla,28.9
147,Antigua and Barbuda,19.2
148,Aruba,23.2
149,Bahamas,10.5
150,Barbados,9.2
151,British Virgin Islands,45.9
152,"Bonaire, Sint Eustatius and Saba",20.4
153,Cayman Islands,36.8
154,Cuba,0.3
155,Curaçao,..
156,Dominica,3.6
157,Dominican Republic,4.1
158,Grenada,4.4
159,Guadeloupe,15.5
160,Haiti,0.3
161,Jamaica,0.8
162,Martinique,10.8
163,Montserrat,19.0
164,Puerto Rico,9.5
165,Saint Kitts and Nevis,8.0
166,Saint Lucia,3.8
167,Saint Vincent and the Grenadines,3.7
168,Sint Maarten (Dutch part),..
169,Trinidad and Tobago,4.1
170,Turks and Caicos Islands,41.8
171,United States Virgin Islands,50.1
172,Central America,1.6
173,Belize,16.2
174,Costa Rica,13.4
175,El Salvador,0.9
176,Guatemala,2.9
177,Honduras,5.5
178,Mexico,0.8
179,Nicaragua,1.0
180,Panama,2.5
181,South America,1.4
182,Argentina,5.1
183,Bolivia (Plurinational State of),1.1
184,Brazil,0.5
185,Chile,0.8
186,Colombia,0.3
187,Ecuador,0.8
188,Falkland Islands (Malvinas),43.1
189,French Guiana,54.9
190,Guyana,0.6
191,Paraguay,4.6
192,Peru,0.3
193,Suriname,4.5
194,Uruguay,3.2
195,Venezuela (Bolivarian Republic of),5.2
196,OCEANIA,17.3
197,Australia / New Zealand,22.0
198,Australia,23.3
199,New Zealand,15.2
200,Melanesia,1.5
201,Fiji,1.8
202,New Caledonia,22.1
203,Papua New Guinea,0.7
204,Solomon Islands,1.4
205,Vanuatu,1.6
206,Micronesia,26.1
207,Guam,53.5
208,Kiribati,3.0
209,Marshall Islands,2.4
210,Micronesia (Fed. States of),3.8
211,Nauru,29.6
212,Northern Mariana Islands,58.1
213,Palau,18.6
214,Polynesia,10.6
215,American Samoa,45.0
216,Cook Islands,14.2
217,French Polynesia,12.9
218,Niue,19.8
219,Samoa,2.1
220,Tokelau,16.8
221,Tonga,3.1
222,Tuvalu,3.6
223,Wallis and Futuna Islands,10.2
224,EUROPE AND NORTHERN AMERICA,7.7
225,EUROPE,6.9
226,Eastern Europe,7.1
227,Belarus,12.3
228,Bulgaria,0.2
229,Czechia,1.1
230,Hungary,3.3
231,Poland,3.0
232,Republic of Moldova,12.5
233,Romania,0.6
234,Russian Federation,7.8
235,Slovakia,0.8
236,Ukraine,13.4
237,Northern Europe,7.2
238,Channel Islands,43.8
239,Denmark,4.6
240,Estonia,24.4
241,Faroe Islands,9.1
242,Finland,1.3
243,Iceland,3.8
244,Ireland,6.5
245,Isle of Man,49.5
246,Latvia,24.2
247,Lithuania,9.4
248,Norway,4.5
249,Sweden,9.2
250,United Kingdom,6.4
251,Southern Europe,3.0
252,Albania,2.0
253,Andorra,71.3
254,Bosnia and Herzegovina,1.3
255,Croatia,10.0
256,Gibraltar,29.9
257,Greece,6.0
258,Holy See,100.0
259,Italy,2.5
260,Malta,4.2
261,Montenegro,..
262,North Macedonia,4.8
263,Portugal,4.4
264,San Marino,13.7
265,Serbia,1.0
266,Slovenia,8.9
267,Spain,2.1
268,Western Europe,9.5
269,Austria,10.3
270,Belgium,12.8
271,France,10.4
272,Germany,7.5
273,Liechtenstein,37.9
274,Luxembourg,29.8
275,Monaco,69.2
276,Netherlands,7.9
277,Switzerland,20.9
278,NORTHERN AMERICA,9.9
279,Bermuda,25.4
280,Canada,15.7
281,Greenland,16.7
282,Saint Pierre and Miquelon,17.2
283,United States of America,9.2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Sort
order","Major area, region, country or area of destination",Female migrants as a percentage of the international migrant stock
,,1990
1,WORLD,49.2
2,UN development groups,..
3,More developed regions,51.2
4,Less developed regions,47.0
5,Least developed countries,49.8
6,"Less developed regions, excluding least developed countries",46.5
7,World Bank income groups,..
8,High-income countries,48.6
9,Middle-income countries,49.9
10,Upper-middle-income countries,49.3
11,Lower-middle-income countries,50.5
12,Low-income countries,50.1
13,No income group available,48.6
14,Geographic regions,..
15,Africa,47.2
16,Asia,46.6
17,Europe,51.4
18,Latin America and the Caribbean,49.8
19,Northern America,51.1
20,Oceania,48.9
21,Sustainable Development Goal (SDG) regions,..
22,SUB-SAHARAN AFRICA,46.9
23,Eastern Africa,48.5
24,Burundi,51.0
25,Comoros,52.3
26,Djibouti,47.4
27,Eritrea,47.4
28,Ethiopia,47.4
29,Kenya,45.9
30,Madagascar,44.2
31,Malawi,51.5
32,Mauritius,51.2
33,Mayotte,42.3
34,Mozambique,46.0
35,Réunion,46.3
36,Rwanda,49.5
37,Seychelles,40.8
38,Somalia,48.9
39,South Sudan,..
40,Uganda,47.9
41,United Republic of Tanzania,50.6
42,Zambia,48.8
43,Zimbabwe,43.9
44,Middle Africa,49.0
45,Angola,45.9
46,Cameroon,45.2
47,Central African Republic,46.9
48,Chad,46.0
49,Congo,50.3
50,Democratic Republic of the Congo,51.9
51,Equatorial Guinea,46.5
52,Gabon,42.9
53,Sao Tome and Principe,47.1
54,Southern Africa,39.7
55,Botswana,39.6
56,Eswatini,46.8
57,Lesotho,47.6
58,Namibia,47.2
59,South Africa,38.4
60,Western Africa,46.5
61,Benin,47.3
62,Burkina Faso,52.0
63,Cabo Verde,50.4
64,Côte d'Ivoire,44.3
65,Gambia,43.9
66,Ghana,49.6
67,Guinea,50.1
68,Guinea-Bissau,50.0
69,Liberia,43.2
70,Mali,49.0
71,Mauritania,48.4
72,Niger,52.2
73,Nigeria,43.9
74,Saint Helena,38.2
75,Senegal,48.7
76,Sierra Leone,44.7
77,Togo,49.4
78,NORTHERN AFRICA AND WESTERN ASIA,42.4
79,Northern Africa,48.8
80,Algeria,45.2
81,Egypt,47.1
82,Libya,46.9
83,Morocco,47.1
84,Sudan,50.4
85,Tunisia,50.2
86,Western Sahara,45.5
87,Western Asia,41.4
88,Armenia,58.9
89,Azerbaijan,56.2
90,Bahrain,29.1
91,Cyprus,53.3
92,Georgia,56.2
93,Iraq,33.3
94,Israel,52.8
95,Jordan,48.8
96,Kuwait,39.0
97,Lebanon,48.8
98,Oman,20.2
99,Qatar,27.1
100,Saudi Arabia,33.5
101,State of Palestine,54.2
102,Syrian Arab Republic,49.0
103,Turkey,50.4
104,United Arab Emirates,28.7
105,Yemen,43.6
106,CENTRAL AND SOUTHERN ASIA,49.0
107,Central Asia,55.2
108,Kazakhstan,54.0
109,Kyrgyzstan,58.2
110,Tajikistan,56.2
111,Turkmenistan,56.2
112,Uzbekistan,56.2
113,Southern Asia,46.9
114,Afghanistan,43.6
115,Bangladesh,46.0
116,Bhutan,18.5
117,India,47.8
118,Iran (Islamic Republic of),42.8
119,Maldives,45.0
120,Nepal,70.7
121,Pakistan,47.4
122,Sri Lanka,43.6
123,EASTERN AND SOUTH-EASTERN ASIA,48.7
124,Eastern Asia,49.6
125,China,49.0
126,"China, Hong Kong SAR",49.3
127,"China, Macao SAR",53.0
128,Dem. People's Republic of Korea,49.0
129,Japan,49.9
130,Mongolia,49.1
131,Republic of Korea,43.7
132,South-Eastern Asia,47.5
133,Brunei Darussalam,42.8
134,Cambodia,50.3
135,Indonesia,50.6
136,Lao People's Democratic Republic,48.4
137,Malaysia,41.7
138,Myanmar,45.9
139,Philippines,47.2
140,Singapore,52.4
141,Thailand,46.4
142,Timor-Leste,50.3
143,Viet Nam,45.8
144,LATIN AMERICA AND THE CARIBBEAN,49.8
145,Caribbean,48.0
146,Anguilla,51.1
147,Antigua and Barbuda,52.0
148,Aruba,55.5
149,Bahamas,48.5
150,Barbados,58.1
151,British Virgin Islands,48.6
152,"Bonaire, Sint Eustatius and Saba",55.1
153,Cayman Islands,50.8
154,Cuba,50.0
155,Curaçao,..
156,Dominica,48.0
157,Dominican Republic,37.6
158,Grenada,50.6
