2019,2019104,United Arab Emirates,,784,C R,"8,587,256","206,102","54,970","8,071",,,,,,,,,,,,,,,"1,969","1,079,013",,,,,,,,,,,,,,,,,,,,,,,,"5,272",,,,,,,,,,,,,,,,,,,,,,,,"886,291",,,"19,048",,,"10,886",,,,,"17,874",,,,,,,,,,,,,,,,,,,,,,,"3,419,875","314,089",,,,,,,,,"166,467",,,,"66,526",,,,"41,293",,,,,,,,,,,,,,,,,,,,,,,,"8,811",,,,,"27,474","3,110",,,,,"15,465",,,,,,"981,536",,,,,,"556,407",,,,"2,633",,,,,,,,,,,,,,,"6,483",,,,,,,,,,"9,591",,"15,688",,"118,708","57,445","131,254",,,,"52,142",,"12,630",,,,,,"5,788","37,621",,,,,,,"28,760",,"15,390",,,,,,,,,"202,574",,,,,,,
2019,2019105,Yemen,,887,CR,"385,628","30,529","4,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,710",,,"1,930",,,"15,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"9,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"279,856",,549,,,"3,813","26,942",,,,"4,000",,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
2019,2019106,CENTRAL AND SOUTHERN ASIA,,921,,"19,627,025","639,628","440,915","3,925,633",0,128,0,0,0,0,0,0,"27,441",0,"1,238",86,"95,033",0,"30,959","3,144,517",0,"111,188",0,0,0,0,"34,451",0,0,0,0,"15,115",0,"24,974",0,0,0,0,"19,900",0,"2,052",0,0,0,0,0,"299,068",0,0,0,0,0,0,0,0,0,0,0,252,0,"66,265",0,168,0,0,0,0,170,0,0,0,"1,724",0,0,0,0,168,174,"1,576",0,0,0,0,"7,287","14,504",0,0,90,0,0,0,0,0,0,0,0,37,0,0,0,0,"2,125,186","156,384","6,999","84,959",0,0,55,"5,359",0,"15,744",277,"48,860","2,338",0,"7,730","23,180","89,317","2,046",751,0,0,40,0,"7,178",0,0,0,"219,505","1,603",0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,"989,561",0,0,"574,310",69,0,262,0,21,634,0,0,0,"14,616",367,"1,219,888",0,0,0,0,0,999,"3,183",186,0,276,"34,224","15,979",0,472,"3,753,194",0,0,0,0,0,0,0,0,0,"5,816",0,0,25,0,"14,576",0,0,0,0,0,263,0,35,"160,447",0,0,0,191,494,73,"36,222","11,349",0,0,0,0,0,0,"53,360","8,103",0,0,699,"512,958","13,468","40,344",0,"50,361",21,0,"378,206",0,0,"28,542",0,0,0,689,0,,,,,
2019,2019107,Central Asia,,5500,,"5,543,398","188,168","167,832","12,562",0,128,0,0,0,0,0,0,"25,003",0,0,62,"83,221",0,0,0,0,"111,188",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,48,0,0,0,0,0,"2,571",0,0,0,0,0,0,0,0,0,0,0,0,0,"66,265",0,129,0,0,0,0,0,0,0,0,"1,724",0,0,0,0,0,113,0,0,0,0,0,"7,287","11,537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,"3,083",61,0,0,0,0,0,0,0,"46,695",0,0,0,"23,180",0,"2,046",0,0,0,0,0,"7,178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,108,0,21,0,0,0,0,0,35,104,0,0,0,0,0,0,"3,183",0,0,0,"33,579","15,979",0,472,"3,751,721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,"31,626",0,0,0,0,0,0,0,"50,805","3,282",0,0,0,"512,958",0,312,0,272,21,0,"377,977",0,0,104,0,0,0,22,0,,,,,
2019,2019108,Kazakhstan,,398,B,"3,705,556","128,539","142,068",,,,,,,,,,"9,555",,,,"50,552",,,,,"72,245",,,,,,,,,,,,,,,,,,,,,,,,,"2,259",,,,,,,,,,,,,,"64,370",,,,,,,,,,,"1,163",,,,,,,,,,,,"3,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,036",,"1,163",,,,,,"4,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,351","12,589",,,"2,458,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,527",,,,,,,,"49,003","1,097",,,,"353,225",,,,,,,"294,395",,,,,,,,,,,,,
2019,2019109,Kyrgyzstan,,417,B,"200,260","2,104","2,207",,,,,,,,,,"2,331",,,,"4,583",,,,,"9,746",,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,"1,741",,,,,,,,,,,561,,,,,,113,,,,,,"3,204","1,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,679",,,,,,883,,,,,,"2,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,147",,,,228,"2,606",,472,"109,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,160",,,,,,,,"1,029",980,,,,"26,231",,,,,,,"8,997",,,104,,,,,,,,,,
2019,2019110,Tajikistan,,762,B,"274,071",204,94,"12,346",,128,,,,,,,193,,,62,168,,,,,677,,,,,,,,,,,,22,,,,,,,48,,,,,,47,,,,,,,,,,,,,,154,,129,,,,,,,,,,,,,,,,,,,,,661,132,,,,,,,,,,,,,,,,,614,,"1,192",61,,,,,,,,835,,,,"11,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,108,,21,,,,,,35,104,,,,,,,36,,,,,784,,,"233,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,773,444,,,,"1,204",,312,,272,21,,"7,510",,,,,,,22,,,,,,
2019,2019111,Turkmenistan,,795,B,"195,127","2,853","1,224",216,,,,,,,,,"7,067",,,,"7,605",,,,,"2,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,031",,,,,,,,,,,,,,,,,,,"1,891",,,,,,,,,"20,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,468",,,,,,,,,,,,,"7,961",,,,,,,"67,075",,,,,,,,,,,,,
2019,2019112,Uzbekistan,,860,B,"1,168,384","54,468","22,239",,,,,,,,,,"5,857",,,,"20,313",,,,,"26,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,165",,,,"4,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"875,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,471",,,,,,,,,761,,,,"124,337",,,,,,,,,,,,,,,,,,,,
2019,2019113,Southern Asia,,5501,,"14,083,627","451,460","273,083","3,913,071",0,0,0,0,0,0,0,0,"2,438",0,"1,238",24,"11,812",0,"30,959","3,144,517",0,0,0,0,0,0,"34,451",0,0,0,0,"15,115",0,"24,952",0,0,0,0,"19,900",0,"2,004",0,0,0,0,0,"296,497",0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,39,0,0,0,0,170,0,0,0,0,0,0,0,0,168,61,"1,576",0,0,0,0,0,"2,967",0,0,90,0,0,0,0,0,0,0,0,37,0,0,0,0,"2,124,572","156,384","3,916","84,898",0,0,55,"5,359",0,"15,744",277,"2,165","2,338",0,"7,730",0,"89,317",0,751,0,0,40,0,0,0,0,0,"219,505","1,603",0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,"989,561",0,0,"574,310",20,0,154,0,0,634,0,0,0,"14,616",332,"1,219,784",0,0,0,0,0,999,0,186,0,276,645,0,0,0,"1,473",0,0,0,0,0,0,0,0,0,"5,816",0,0,25,0,"14,576",0,0,0,0,0,263,0,35,"160,447",0,0,0,191,443,73,"4,596","11,349",0,0,0,0,0,0,"2,555","4,821",0,0,699,0,"13,468","40,032",0,"50,089",0,0,229,0,0,"28,438",0,0,0,667,0,,,,,
2019,2019114,Afghanistan,,4,B,"149,762","28,808","9,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,596",,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,
2019,2019115,Bangladesh,,50,B R,"2,185,613","146,658","188,806",,,,,,,,,,,,,,,,"30,556",,,,,,,,,,,,,"15,115",,,,,,,"19,900",,,,,,,,"164,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,884","154,877",,,,,,,,"13,943",,,,,,,"89,317",,,,,,,,,,,"206,244",,,,,,,,,,,,,,,,,"937,521",,,"39,573",,,,,,,,,,"14,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,709",,,,,,,,,,,,,,,,,"10,687",,,,,,,,,,,,,,"33,910",,"46,614",,,,,,"27,883",,,,,,,,,,
2019,2019116,Bhutan,,64,B,"53,254","1,016","3,061",,,,,,,,,,,,28,,,,,54,,,,,,,,,,,,,,,,,,,,,38,,,,,,944,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,31,,,,,,28,,,,,,,,,,,,,,,,,"46,627",,,,,,,13,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,747,20,,25,,,,,,,,,22,,,,,,19,,,,,34,,,,,,,,,,,,,,,,,,,18,,,,,,,,,34,,,,23,25,,,63,,,,,,,,,,,,,,37,,141,,,,,,,,,,,,,,,,
2019,2019117,India,,356,B R,"5,154,737","12,116","2,421","13,501",,,,,,,,,,,651,,,,,"3,103,664",,,,,,,"6,532",,,,,,,"24,952",,,,,,,"1,613",,,,,,"108,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,"1,121",,,,,,"2,109",,,,,,,,,,,,,,,,,,804,"1,675",489,,,,,,703,,"2,165","2,338",,"5,975",,,,,,,,,,,,,"12,228",194,,,,,,290,,,,,,,,,,"49,720",,,"533,646",,,,,,634,,,,,,"1,082,917",,,,,,,,153,,,,,,,"1,323",,,,,,,,,,"4,399",,,,,"4,155",,,,,,,,,"152,536",,,,,,,,,,,,,,,103,,,,699,,"11,779","4,782",,"2,674",,,,,,555,,,,667,,,,,,
2019,2019118,Iran (Islamic Republic of),,364,B R,"2,682,214","189,215","49,152","2,310,292",,,,,,,,,"2,438",,,,"11,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,407","4,821",,,,,,,,,,,,,,,,,,,,,,,,
2019,2019119,Maldives,,462,C,"69,249","4,393",147,,,,,,,,,,,,84,24,,,,"39,901",,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,123,,,,,,269,,,,,,,,,,,,,,,,,"14,411",,,,,,,176,,117,,,,,,,,,10,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,326,,,,,,980,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,"7,296",,,,38,127,,,322,,,,,,,,,,,,,,110,,47,,,,,,,,,,,,,,,,
2019,2019120,Nepal,,524,B R,"490,802","11,669",631,,,,,,,,,,,,,,,,,224,,,,,,,"27,686",,,,,,,,,,,,,,,,,,,,"19,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"429,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019121,Pakistan,,586,B R,"3,257,978","56,163","18,721","1,589,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,588,067",379,"2,137",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019122,Sri Lanka,,144,B R,"40,018","1,422",543,132,,,,,,,,,,,475,,,,403,674,,,,,,,233,,,,,,,,,,,,,,252,,,,,,"2,482",,,,,,,,,,,,252,,,,,,,,,131,,,,,,,,,,61,301,,,,,,561,,,90,,,,,,,,,37,,,,,"10,814",324,104,40,,,55,"5,170",,849,277,,,,"1,755",,,,741,,,40,,,,,,925,"1,409",,,,,,,,,,,,,,,,,,,344,,,111,,,,,,,117,332,829,,,,,,,,33,,276,611,,,,150,,,,,,,,,,"1,417",,,25,,612,,,,,,263,,35,,,,,130,291,73,,277,,,,,,,45,,,,,,"1,689","1,193",,613,,,,,,,,,,,,,,,,
2019,2019123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,"18,296,631","784,270","292,413","1,828",119,476,0,0,78,0,0,"3,425",139,64,"66,775","1,146",0,0,114,"519,866",0,0,"1,315",0,0,0,0,36,0,0,0,"271,101",0,"7,044",16,0,0,135,"727,851",0,"71,027",0,0,0,0,95,"4,654,601","360,767","136,919",128,0,545,0,40,16,0,28,0,0,19,"8,221",49,"1,764",0,0,0,473,"2,143",0,0,0,0,0,2,0,0,0,876,"20,619",0,0,0,0,0,"18,016","2,287",0,157,0,0,0,"1,039",35,0,0,0,0,0,0,262,54,"407,608","1,681,643","5,497","1,458","2,627",0,633,"7,302",0,"112,664","12,689","1,670",54,0,176,"1,927","942,781",0,138,0,1,"2,412",0,0,0,0,0,"1,046,563",0,0,0,0,0,0,0,0,"2,565",0,0,"25,633",0,0,0,0,"2,224,353",0,0,"620,967","11,318",0,"16,905",0,0,"4,640",0,3,0,"1,930",420,"248,746",35,0,61,0,"64,922","715,066","1,615","3,630",52,123,"733,183",0,0,36,"19,939",4,0,0,0,0,0,0,0,0,"3,120",0,0,0,0,"135,364",0,3,0,0,"1,714","2,796",0,"4,748","71,885",15,64,128,"3,231","4,193","2,426",0,"245,146","23,669",2,0,0,0,585,"1,142",0,0,0,0,0,444,"109,031",0,"243,226",0,1,"24,444",0,0,"536,871",0,0,0,0,1,,,,,
2019,2019124,Eastern Asia,,906,,"8,105,764","377,906","106,160",0,0,0,0,0,0,0,0,"3,273",0,0,"33,709",628,0,0,0,"28,905",0,0,766,0,0,0,0,0,0,0,0,"270,869",0,0,16,0,0,0,"17,525",0,"56,719",0,0,0,0,0,"4,015,410","307,310","118,099",0,0,0,0,0,0,0,0,0,0,19,672,0,641,0,0,0,0,"1,977",0,0,0,0,0,0,0,0,0,761,"17,497",0,0,0,0,0,"11,675","2,252",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,"68,920","294,950","4,879",0,"2,183",0,0,"4,863",0,"49,119",0,"1,670",0,0,0,"1,927",1,0,0,0,0,0,0,0,0,0,0,"37,373",0,0,0,0,0,0,0,0,"2,416",0,0,"25,633",0,0,0,0,"4,482",0,0,"22,931","2,491",0,"8,558",0,0,"4,442",0,3,0,509,0,"38,846",0,0,0,0,"64,808","564,887","1,502","2,745",0,0,"685,729",0,0,0,"19,839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,534",0,3,0,0,0,"1,958",0,"3,402","45,532",0,0,0,"1,881","2,148",0,0,"125,486",0,0,0,0,0,0,235,0,0,0,0,0,0,"55,014",0,"171,424",0,1,"24,444",0,0,"370,196",0,0,0,0,0,,,,,
2019,2019125,China,9,156,C,"1,030,871","144,940","28,199",,,,,,,,,,,,"5,509",,,,,"4,235",,,,,,,,,,,,"78,301",,,,,,,,,"9,095",,,,,,,"284,848","25,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,452","41,882",,,,,,,,"7,194",,,,,,,,,,,,,,,,,,"6,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,641",,,,,"14,211","77,016",,,,,"196,874",,,,"3,123",,,,,,,,,,,,,,,,,,,,,,,,"5,728",,,,,,,,"16,012",,,,,,,,,,,,,,"9,599",,"28,223",,,,,,"29,612",,,,,,,,,,
2019,2019126,"China, Hong Kong SAR",10,344,B,"2,942,254","17,612","5,871",,,,,,,,,,,,"11,778",,,,,575,,,,,,,,,,,,,,,,,,,,,"18,993",,,,,,"2,272,293",,"92,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,842",,,,,,"2,556",,,,,,,,,,,,,,,,,"23,326","174,380",,,900,,,831,,"18,378",,,,,,,,,,,,,,,,,,"19,787",,,,,,,,,,,,,,,,,,,,"12,093","1,321",,"2,911",,,,,,,,,"9,787",,,,,,"152,771",,141,,,"6,260",,,,114,,,,,,,,,,,,,,,"12,799",,,,,,,,519,"1,013",,,,,940,,,"24,865",,,,,,,,,,,,,,"22,888",,"17,166",,,,,,"14,161",,,,,,,,,,
2019,2019127,"China, Macao SAR",11,446,B,"399,572","11,514","34,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"297,643","22,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,881",,"2,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019128,Dem. People's Republic of Korea,,408,I,"49,393","1,481",704,,,,,,,,,,,,205,,,,,154,,,,,,,,,,,,"2,833",,,,,,,,,337,,,,,,"29,145",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,"1,441",,,,,,,,214,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,532,"2,981",,,,,"5,461",,,,147,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,573,,,,,,,,,,,,,,309,,"1,047",,,,,,765,,,,,,,,,,
2019,2019129,Japan,,392,C,"2,498,891","162,440","23,024",,,,,,,,,"3,273",,,"10,892",612,,,,"12,976",,,766,,,,,,,,,"189,735",,,,,,,"3,786",,"10,522",,,,,,"784,763",,,,,,,,,,,,,,,,641,,,,,"1,977",,,,,,,,,,758,"12,206",,,,,,"7,102","2,252",,,,,,,,,,,,,,,,"30,063","44,937","4,879",,"1,275",,,"4,010",,,,,,,,,,,,,,,,,,,,"9,526",,,,,,,,,"2,416",,,,,,,,,,,,"1,170",,"3,396",,,"2,933",,,,509,,"14,421",,,,,"50,065","255,530","1,489",522,,,"475,166",,,,"8,710",,,,,,,,,,,,,,,"2,735",,,,,,,,"2,883","18,190",,,,"1,881","1,186",,,"49,967",,,,,,,,,,,,,,"17,255",,"56,321",,,,,,"209,731",,,,,,,,,,
2019,2019130,Mongolia,,496,C,"21,128",536,188,,,,,,,,,,,,247,16,,,,,,,,,,,,,,,,,,,16,,,,,,163,,,,,,"11,271",,,,,,,,,,,,,19,672,,,,,,,,,,,,,,,,,3,86,,,,,,194,,,,,,,,,,,,,,,11,,117,,,,8,,,22,,440,,223,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,22,,,,,,180,13,,,,"1,968",,,,"3,200",,,,,,,,,,,,,,,,,3,,,,,,,,,,,,22,,,,,,,,,,235,,,,,,,105,,848,,1,,,,295,,,,,,,,,,
2019,2019131,Republic of Korea,,410,C,"1,163,655","39,383","13,630",,,,,,,,,,,,"5,078",,,,,"10,965",,,,,,,,,,,,,,,,,,,"13,739",,"17,609",,,,,,"620,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,363",,,,,,"1,823",,,,,,,,,,,,,,,,,"5,592","32,310",,,,,,,,"22,893",,"1,447",,,,"1,927",,,,,,,,,,,,"1,400",,,,,,,,,,,,"25,633",,,,,"4,482",,,"10,838",,,"2,251",,,"1,509",,,,,,"9,802",,,,,,"46,528",,,,,,,,,"4,545",,,,,,,,,,,,,,,,,,,,,"1,958",,,"20,446",,,,,,,,"32,456",,,,,,,,,,,,,,"4,858",,"67,819",,,"24,444",,,"115,632",,,,,,,,,,
2019,2019132,South-Eastern Asia,,920,,"10,190,867","406,364","186,253","1,828",119,476,0,0,78,0,0,152,139,64,"33,066",518,0,0,114,"490,961",0,0,549,0,0,0,0,36,0,0,0,232,0,"7,044",0,0,0,135,"710,326",0,"14,308",0,0,0,0,95,"639,191","53,457","18,820",128,0,545,0,40,16,0,28,0,0,0,"7,549",49,"1,123",0,0,0,473,166,0,0,0,0,0,2,0,0,0,115,"3,122",0,0,0,0,0,"6,341",35,0,157,0,0,0,"1,039",35,0,0,0,0,0,0,251,54,"338,688","1,386,693",618,"1,458",444,0,633,"2,439",0,"63,545","12,689",0,54,0,176,0,"942,780",0,138,0,1,"2,412",0,0,0,0,0,"1,009,190",0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,"2,219,871",0,0,"598,036","8,827",0,"8,347",0,0,198,0,0,0,"1,421",420,"209,900",35,0,61,0,114,"150,179",113,885,52,123,"47,454",0,0,36,100,4,0,0,0,0,0,0,0,0,"3,120",0,0,0,0,"119,830",0,0,0,0,"1,714",838,0,"1,346","26,353",15,64,128,"1,350","2,045","2,426",0,"119,660","23,669",2,0,0,0,585,907,0,0,0,0,0,444,"54,017",0,"71,802",0,0,0,0,0,"166,675",0,0,0,0,1,,,,,
2019,2019133,Brunei Darussalam,,96,B,"110,641",842,274,,,,,,,,,,,,554,,,,,"1,328",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,213",554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,318","6,639",,,,,,,,219,,,,,,,,,,,,,,,,,,"52,001",,,,,,,,,,,,,,,,,,,,"5,755",330,,219,,,,,,,,,884,,,,,,"14,492",,,,,164,,,,,,,,,,,,,,,,,,,"1,659",,,,,,,,,"1,328",,,,,,,,"15,491",,,,,,,,,,,,,,"2,213",,164,,,,,,,,,,,,,,,,
2019,2019134,Cambodia,,116,B,"78,649","2,190",950,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,"1,614",123,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,292,,,,,,40,,,,,,,,,,,,,,,,,101,111,,,,,,15,,132,,,,,,,276,,,,,,,,,,,182,,,,,,,,,,,,,,,,,55,,,47,31,,,,,,,,,,,43,,,,,,161,,,,,59,,,,31,,,,,,,,,,,,,,,130,,,,,,,,,49,,,,,,,,"32,758",,,,,,,,,,,,,,97,,207,,,,,,"38,744",,,,,,,,,,
2019,2019135,Indonesia,,360,B R,"353,135","6,410","34,152",,,,,,,,,,,,"11,325",,,,,,,,,,,,,,,,,,,,,,,,,,"2,239",,,,,,"75,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,507",,,,,,,,,"19,748","12,507",,,,,,,,,,,"2,363",,,,,,"2,363",,,,,,,,,,,,,,,,,,,,,"7,258",,,,,,,,,,,"8,588",,,,,,"4,203",,,,,"33,357",,,,,,,,,,,,,,"2,363",,,,,"23,524",,,,,,,,,,,,,,,"2,363",,"23,524","23,524",,,,,,,,,,,,,"32,693",,"12,613",,,,,,,,,,,,,,,,
2019,2019136,Lao People's Democratic Republic,,418,C R,"48,275","2,668",980,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,"3,634",,,,,,,,"14,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,490",,,,,,,,,,,,,,,,,,,,,,"20,076",,,,,,,,,,
2019,2019137,Malaysia,12,458,C R,"3,430,380","134,409","95,131",569,,,,,,,,,,,"6,076",,,,,"410,195",,,,,,,,,,,,,,"6,960",,,,,"16,166",,,,,,,,"11,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146,128","1,225,156",,"1,300",,,,,,"18,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"345,947",,,"578,082",,,"2,449",,,,,,,,,"83,884",,,,,,"116,423",,,,,"3,917",,,,,,,,,,,,,,,,,,,"91,002",,,,,"1,578",,,,"7,591",,,,,,,,"15,580",,,,,,,,,,,,,,"11,273",,,,,,,,"99,875",,,,,,,,,,
2019,2019138,Myanmar,,104,C,"75,998","6,208","3,586",,,,,,,,,,,,,,,,,"1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,"34,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019139,Philippines,,608,C R,"218,530","43,213","14,511","1,258",119,476,,,78,,,152,139,64,"4,118",518,,,114,162,,,549,,,,,36,,,,167,,84,,,,135,40,,"5,740",,,,,95,"37,083",264,,128,,545,,40,,,,,,,"5,934",33,455,,,,473,166,,,,,,,,,,115,"1,241",,,,,,"3,905",35,,157,,,,"1,039",35,,,,,,,251,54,"10,973","3,407",604,73,444,,633,"1,785",,"14,181",182,,54,,176,,296,,138,,,49,,,,,,817,,,,,,,,,149,,,,,,,,434,,,70,498,,395,,,198,,,,673,420,514,35,,61,,114,,113,61,52,123,"7,123",,,36,69,,,,,,,,,,756,,,,,845,,,,,,838,,"1,346",177,,63,128,624,"1,065",63,,350,145,,,,,585,906,,,,,,444,"4,416",,"36,683",,,,,,425,,,,,,,,,,
